particula,masas,x,y,z
773,1.00,928.00,865.00,-248.00
774,1.00,981.00,729.00,-200.00
775,1.00,856.00,804.00,-9.00
776,4.00,966.00,897.00,221.00
777,5.00,717.00,744.00,-31.00
778,4.00,1001.00,804.00,-166.00
779,3.00,921.00,642.00,-219.00
780,2.00,679.00,697.00,-62.00
781,1.00,956.00,935.00,40.00
782,5.00,989.00,851.00,142.00
783,1.00,875.00,846.00,-82.00
784,4.00,668.00,778.00,200.00
785,1.00,947.00,705.00,231.00
786,5.00,859.00,917.00,-135.00
787,1.00,819.00,896.00,-138.00
788,3.00,982.00,916.00,26.00
789,4.00,738.00,652.00,56.00
790,3.00,730.00,833.00,-68.00
791,1.00,937.00,925.00,84.00
792,3.00,662.00,714.00,-8.00
793,3.00,985.00,903.00,236.00
794,4.00,828.00,944.00,12.00
795,1.00,817.00,857.00,-197.00
796,5.00,999.00,671.00,106.00
797,3.00,782.00,718.00,-64.00
798,1.00,781.00,825.00,-173.00
799,3.00,671.00,688.00,52.00
800,1.00,822.00,803.00,-91.00
801,4.00,937.00,947.00,232.00
802,4.00,682.00,895.00,73.00
803,4.00,661.00,760.00,215.00
804,5.00,879.00,803.00,26.00
805,2.00,804.00,949.00,264.00
806,1.00,672.00,722.00,-117.00
807,5.00,788.00,866.00,-158.00
808,5.00,983.00,966.00,102.00
809,4.00,1038.00,673.00,31.00
810,5.00,701.00,902.00,269.00
811,3.00,764.00,858.00,-108.00
812,2.00,1003.00,961.00,94.00
813,2.00,729.00,666.00,269.00
814,3.00,926.00,911.00,273.00
815,4.00,962.00,672.00,-27.00
816,5.00,1035.00,899.00,-83.00
817,1.00,1021.00,744.00,-152.00
818,2.00,1026.00,976.00,85.00
819,1.00,1059.00,972.00,-32.00
820,3.00,1002.00,758.00,192.00
821,2.00,1056.00,699.00,88.00
822,5.00,672.00,905.00,-55.00
823,5.00,1014.00,975.00,-1.00
824,4.00,929.00,701.00,205.00
825,5.00,951.00,800.00,65.00
826,3.00,684.00,849.00,110.00
827,4.00,872.00,945.00,-128.00
828,5.00,939.00,705.00,-105.00
829,4.00,851.00,712.00,-106.00
830,3.00,692.00,884.00,50.00
831,1.00,941.00,948.00,-165.00
832,4.00,913.00,692.00,-114.00
833,3.00,1035.00,861.00,126.00
834,5.00,925.00,791.00,207.00
835,2.00,949.00,753.00,-106.00
836,1.00,1035.00,841.00,88.00
837,5.00,849.00,993.00,269.00
838,3.00,1039.00,1007.00,-235.00
839,2.00,961.00,885.00,248.00
840,2.00,802.00,841.00,-107.00
841,4.00,797.00,835.00,166.00
842,2.00,810.00,955.00,-24.00
843,5.00,871.00,815.00,92.00
844,3.00,973.00,840.00,-58.00
845,3.00,993.00,854.00,-153.00
846,5.00,874.00,715.00,83.00
847,1.00,875.00,970.00,139.00
848,4.00,838.00,931.00,63.00
849,5.00,935.00,864.00,131.00
850,4.00,910.00,735.00,-168.00
851,2.00,986.00,901.00,138.00
852,3.00,935.00,823.00,-36.00
853,3.00,800.00,797.00,-228.00
854,2.00,1058.00,753.00,-8.00
855,4.00,944.00,975.00,-1.00
856,2.00,922.00,1011.00,180.00
857,2.00,766.00,875.00,-111.00
858,4.00,846.00,973.00,270.00
859,4.00,776.00,1021.00,-212.00
860,3.00,824.00,1018.00,185.00
861,5.00,1012.00,759.00,13.00
862,4.00,1098.00,1031.00,22.00
863,2.00,945.00,813.00,228.00
864,4.00,918.00,864.00,-42.00
865,5.00,886.00,745.00,-115.00
866,1.00,737.00,723.00,24.00
867,2.00,800.00,902.00,246.00
868,3.00,1064.00,1024.00,88.00
869,2.00,766.00,824.00,-191.00
870,1.00,729.00,1036.00,-118.00
871,4.00,1113.00,853.00,-203.00
872,3.00,1112.00,773.00,93.00
873,1.00,846.00,974.00,227.00
874,2.00,755.00,915.00,-43.00
875,2.00,931.00,922.00,-70.00
876,4.00,758.00,800.00,269.00
877,5.00,833.00,848.00,212.00
878,4.00,735.00,765.00,26.00
879,3.00,767.00,959.00,158.00
880,1.00,732.00,886.00,0.00
881,5.00,1118.00,811.00,154.00
882,3.00,756.00,963.00,-198.00
883,4.00,1106.00,982.00,229.00
884,1.00,936.00,818.00,-143.00
885,4.00,1014.00,918.00,75.00
886,4.00,845.00,885.00,70.00
887,4.00,844.00,781.00,-68.00
888,1.00,751.00,1039.00,-26.00
889,5.00,954.00,915.00,-215.00
890,5.00,1099.00,885.00,-118.00
891,1.00,927.00,1056.00,45.00
892,4.00,1084.00,885.00,98.00
893,4.00,1105.00,816.00,-246.00
894,4.00,948.00,746.00,164.00
895,4.00,1013.00,1057.00,-195.00
896,2.00,956.00,1014.00,-183.00
897,5.00,1041.00,850.00,-30.00
898,2.00,883.00,828.00,80.00
899,3.00,780.00,938.00,62.00
900,3.00,1094.00,882.00,-11.00
901,2.00,820.00,980.00,-24.00
902,5.00,1096.00,953.00,-64.00
903,2.00,868.00,1048.00,-137.00
904,3.00,806.00,983.00,66.00
905,1.00,888.00,1065.00,-225.00
906,2.00,1123.00,1065.00,95.00
907,4.00,888.00,1073.00,98.00
908,1.00,976.00,828.00,41.00
909,5.00,865.00,1009.00,-172.00
910,5.00,1013.00,891.00,49.00
911,1.00,956.00,875.00,-14.00
912,2.00,926.00,982.00,147.00
913,1.00,794.00,781.00,151.00
914,3.00,829.00,813.00,-241.00
915,5.00,1093.00,827.00,4.00
916,1.00,1034.00,1044.00,79.00
917,3.00,809.00,1058.00,251.00
918,3.00,1016.00,1041.00,39.00
919,5.00,1126.00,829.00,33.00
920,3.00,861.00,780.00,13.00
921,4.00,805.00,957.00,45.00
922,5.00,1109.00,1072.00,245.00
923,5.00,875.00,1017.00,43.00
924,1.00,1060.00,1042.00,59.00
925,2.00,929.00,1029.00,-114.00
926,2.00,1174.00,1066.00,-81.00
927,2.00,1166.00,868.00,101.00
928,2.00,1151.00,953.00,-122.00
929,4.00,1052.00,1082.00,-49.00
930,5.00,1027.00,949.00,-146.00
931,5.00,1037.00,963.00,-140.00
932,4.00,804.00,913.00,38.00
933,5.00,966.00,1089.00,-212.00
934,1.00,841.00,1047.00,-168.00
935,4.00,1080.00,989.00,60.00
936,5.00,796.00,873.00,36.00
937,4.00,1130.00,882.00,91.00
938,1.00,945.00,963.00,64.00
939,3.00,1148.00,888.00,97.00
940,1.00,1168.00,865.00,176.00
941,4.00,984.00,892.00,186.00
942,2.00,1133.00,1104.00,-30.00
943,4.00,904.00,1102.00,-146.00
944,1.00,826.00,1099.00,-104.00
945,4.00,1193.00,866.00,-72.00
946,2.00,1074.00,807.00,-243.00
947,2.00,1021.00,993.00,-149.00
948,3.00,878.00,921.00,216.00
949,4.00,1024.00,843.00,89.00
950,2.00,1113.00,836.00,200.00
951,4.00,1134.00,958.00,50.00
952,3.00,856.00,935.00,-169.00
953,4.00,1123.00,944.00,-62.00
954,1.00,846.00,1061.00,244.00
955,3.00,959.00,865.00,269.00
956,3.00,1180.00,851.00,43.00
957,1.00,889.00,1112.00,-31.00
958,3.00,1010.00,1019.00,19.00
959,4.00,914.00,1108.00,-229.00
960,3.00,1062.00,864.00,93.00
961,4.00,903.00,856.00,-176.00
962,3.00,832.00,999.00,-52.00
963,3.00,1107.00,1031.00,114.00
964,4.00,967.00,1067.00,81.00
965,1.00,1150.00,1101.00,-17.00
966,4.00,1065.00,1082.00,-83.00
967,2.00,997.00,834.00,183.00
968,3.00,883.00,863.00,-31.00
969,2.00,960.00,947.00,116.00
970,3.00,1098.00,851.00,135.00
971,1.00,1206.00,840.00,-20.00
972,3.00,1095.00,937.00,-75.00
973,1.00,1055.00,952.00,11.00
974,3.00,1134.00,1043.00,-68.00
975,5.00,1210.00,1086.00,267.00
976,1.00,1040.00,937.00,-191.00
977,4.00,1058.00,885.00,-188.00
978,4.00,846.00,878.00,82.00
979,5.00,1167.00,925.00,112.00
980,3.00,983.00,959.00,41.00
981,3.00,957.00,1087.00,207.00
982,5.00,917.00,907.00,221.00
983,1.00,983.00,1074.00,-171.00
984,2.00,973.00,1003.00,142.00
985,3.00,953.00,891.00,111.00
986,5.00,1099.00,1091.00,-83.00
987,2.00,989.00,943.00,31.00
988,3.00,998.00,1147.00,-210.00
989,2.00,1107.00,1069.00,-107.00
990,1.00,1115.00,1050.00,-71.00
991,1.00,1110.00,1083.00,-86.00
992,2.00,1115.00,857.00,-92.00
993,2.00,1083.00,880.00,60.00
994,1.00,1130.00,1037.00,203.00
995,2.00,1146.00,870.00,-213.00
996,2.00,1119.00,1161.00,-24.00
997,2.00,1071.00,932.00,1.00
998,2.00,999.00,1157.00,-247.00
999,4.00,1180.00,907.00,-28.00
1000,4.00,869.00,862.00,205.00
1001,2.00,994.00,1024.00,120.00
1002,1.00,1125.00,1047.00,20.00
1003,1.00,1092.00,957.00,-189.00
1004,1.00,861.00,1011.00,-80.00
1005,4.00,1106.00,1168.00,260.00
1006,4.00,865.00,1009.00,150.00
1007,4.00,1159.00,926.00,37.00
1008,4.00,1169.00,1172.00,-110.00
1009,5.00,1228.00,901.00,114.00
1010,3.00,1254.00,932.00,-202.00
1011,5.00,976.00,1019.00,57.00
1012,5.00,1146.00,923.00,14.00
1013,3.00,1013.00,1130.00,73.00
1014,1.00,945.00,1140.00,55.00
1015,1.00,1133.00,1031.00,-212.00
1016,4.00,1044.00,1126.00,-124.00
1017,5.00,1116.00,989.00,-159.00
1018,5.00,895.00,1155.00,131.00
1019,5.00,889.00,1106.00,211.00
1020,1.00,917.00,1078.00,101.00
1021,2.00,1157.00,952.00,-60.00
1022,3.00,1100.00,1126.00,-127.00
1023,4.00,1201.00,927.00,-196.00
1024,4.00,1260.00,1176.00,139.00
1025,1.00,977.00,1068.00,157.00
1026,2.00,1119.00,1067.00,-62.00
1027,1.00,983.00,1142.00,-52.00
1028,2.00,1149.00,1079.00,-241.00
1029,4.00,1192.00,958.00,-220.00
1030,3.00,912.00,1108.00,238.00
1031,1.00,1196.00,1127.00,152.00
1032,4.00,921.00,1149.00,45.00
1033,3.00,929.00,957.00,170.00
1034,3.00,1219.00,1134.00,-38.00
1035,1.00,1016.00,904.00,-82.00
1036,2.00,1162.00,1070.00,-12.00
1037,2.00,1100.00,1202.00,-144.00
1038,3.00,949.00,1183.00,51.00
1039,2.00,1113.00,1208.00,-59.00
1040,4.00,1127.00,1054.00,62.00
1041,3.00,1279.00,1125.00,183.00
1042,1.00,907.00,1112.00,215.00
1043,5.00,995.00,938.00,109.00
1044,2.00,992.00,937.00,51.00
1045,5.00,1105.00,1103.00,-181.00
1046,5.00,977.00,1182.00,205.00
1047,4.00,1273.00,1128.00,60.00
1048,4.00,1146.00,1082.00,236.00
1049,5.00,1064.00,1126.00,-198.00
1050,3.00,914.00,999.00,-12.00
1051,4.00,1119.00,1156.00,174.00
1052,5.00,1195.00,1010.00,-20.00
1053,2.00,1105.00,1214.00,-213.00
1054,5.00,997.00,1127.00,-151.00
1055,1.00,1205.00,944.00,153.00
1056,1.00,1229.00,1198.00,-132.00
1057,5.00,1029.00,915.00,-95.00
1058,1.00,1093.00,1030.00,230.00
1059,5.00,1097.00,1037.00,-130.00
1060,3.00,1060.00,922.00,249.00
1061,5.00,1191.00,1125.00,205.00
1062,2.00,995.00,1023.00,-164.00
1063,1.00,927.00,1019.00,173.00
1064,2.00,1273.00,1103.00,104.00
1065,2.00,1174.00,1135.00,-241.00
1066,3.00,1002.00,994.00,-49.00
1067,2.00,1041.00,1065.00,-86.00
1068,5.00,1257.00,1064.00,-5.00
1069,1.00,1314.00,989.00,121.00
1070,5.00,1319.00,1237.00,78.00
1071,1.00,1253.00,1131.00,35.00
1072,5.00,1306.00,1073.00,42.00
1073,2.00,1251.00,983.00,-165.00
1074,1.00,1192.00,1226.00,136.00
1075,3.00,959.00,938.00,-84.00
1076,1.00,971.00,1088.00,-127.00
1077,1.00,1239.00,1078.00,-155.00
1078,3.00,1302.00,1003.00,-157.00
1079,1.00,1276.00,1185.00,175.00
1080,3.00,1203.00,1191.00,-208.00
1081,1.00,1259.00,1132.00,248.00
1082,1.00,1006.00,1189.00,-194.00
1083,4.00,972.00,1117.00,198.00
1084,1.00,973.00,1222.00,-138.00
1085,4.00,1135.00,1217.00,-58.00
1086,5.00,1024.00,1208.00,205.00
1087,3.00,962.00,995.00,104.00
1088,1.00,967.00,954.00,-34.00
1089,2.00,1235.00,941.00,-82.00
1090,5.00,1017.00,1149.00,-110.00
1091,1.00,1095.00,1040.00,5.00
1092,1.00,1093.00,991.00,33.00
1093,1.00,1208.00,1040.00,165.00
1094,3.00,1175.00,1101.00,168.00
1095,5.00,1304.00,999.00,-229.00
1096,3.00,988.00,1195.00,46.00
1097,1.00,1080.00,1115.00,45.00
1098,5.00,1046.00,1041.00,17.00
1099,3.00,1064.00,1173.00,195.00
1100,1.00,1028.00,978.00,125.00
1101,5.00,1181.00,1049.00,-48.00
1102,3.00,1162.00,1058.00,248.00
1103,4.00,958.00,1240.00,140.00
1104,5.00,1112.00,1185.00,237.00
1105,5.00,1331.00,1167.00,-208.00
1106,2.00,1198.00,982.00,112.00
1107,4.00,1079.00,1215.00,-44.00
1108,4.00,984.00,999.00,-103.00
1109,3.00,1051.00,1187.00,184.00
1110,5.00,1222.00,1272.00,95.00
1111,4.00,997.00,1177.00,-133.00
1112,5.00,1139.00,984.00,157.00
1113,4.00,1035.00,1238.00,-70.00
1114,4.00,1123.00,987.00,205.00
1115,4.00,1363.00,1258.00,-55.00
1116,3.00,1197.00,1109.00,-88.00
1117,4.00,1126.00,968.00,-6.00
1118,2.00,1280.00,1206.00,157.00
1119,2.00,1196.00,1054.00,-43.00
1120,3.00,1302.00,1152.00,-8.00
1121,1.00,1348.00,977.00,103.00
1122,4.00,1288.00,985.00,216.00
1123,1.00,1176.00,1164.00,185.00
1124,3.00,1314.00,1151.00,118.00
1125,2.00,1052.00,1256.00,18.00
1126,4.00,1155.00,1148.00,-32.00
1127,3.00,1077.00,1194.00,-9.00
1128,2.00,1049.00,1232.00,64.00
1129,2.00,1104.00,981.00,41.00
1130,1.00,1095.00,1266.00,84.00
1131,4.00,996.00,1025.00,206.00
1132,4.00,1304.00,1152.00,23.00
1133,1.00,1328.00,1223.00,-149.00
1134,4.00,1262.00,1292.00,11.00
1135,4.00,1098.00,1269.00,51.00
1136,2.00,1028.00,1150.00,-74.00
1137,3.00,1040.00,1016.00,-154.00
1138,2.00,1142.00,1236.00,-199.00
1139,4.00,1238.00,1287.00,265.00
1140,5.00,1107.00,998.00,148.00
1141,5.00,1283.00,1184.00,-129.00
1142,4.00,1241.00,1085.00,148.00
1143,4.00,1241.00,1116.00,-226.00
1144,1.00,1216.00,1214.00,-210.00
1145,4.00,1213.00,1308.00,233.00
1146,3.00,1027.00,1060.00,-125.00
1147,4.00,1381.00,1271.00,-200.00
1148,1.00,1052.00,1005.00,238.00
1149,4.00,1225.00,1062.00,-43.00
1150,5.00,1207.00,1136.00,56.00
1151,3.00,1316.00,1169.00,87.00
1152,2.00,1366.00,1047.00,252.00
1153,4.00,1189.00,1063.00,10.00
1154,5.00,1090.00,1068.00,-98.00
1155,5.00,1235.00,1022.00,-117.00
1156,2.00,1072.00,1192.00,-165.00
1157,3.00,1045.00,1234.00,107.00
1158,5.00,1132.00,1261.00,217.00
1159,5.00,1375.00,1175.00,133.00
1160,5.00,1160.00,1050.00,-133.00
1161,3.00,1252.00,1166.00,76.00
1162,4.00,1202.00,1077.00,-4.00
1163,1.00,1267.00,1273.00,77.00
1164,3.00,1040.00,1159.00,133.00
1165,2.00,1189.00,1139.00,223.00
1166,2.00,1342.00,1191.00,-194.00
1167,5.00,1299.00,1320.00,181.00
1168,2.00,1256.00,1171.00,101.00
1169,2.00,1166.00,1225.00,-209.00
1170,3.00,1076.00,1193.00,179.00
1171,5.00,1356.00,1042.00,165.00
1172,1.00,1130.00,1145.00,-99.00
1173,3.00,1137.00,1150.00,141.00
1174,4.00,1180.00,1034.00,44.00
1175,4.00,1097.00,1088.00,22.00
1176,5.00,1210.00,1326.00,-127.00
1177,3.00,1271.00,1112.00,-7.00
1178,1.00,1242.00,1135.00,-77.00
1179,2.00,1372.00,1177.00,-220.00
1180,2.00,1103.00,1333.00,169.00
1181,5.00,1049.00,1347.00,178.00
1182,5.00,1161.00,1288.00,64.00
1183,3.00,1183.00,1287.00,-53.00
1184,1.00,1059.00,1166.00,184.00
1185,3.00,1282.00,1107.00,185.00
1186,3.00,1082.00,1191.00,216.00
1187,3.00,1176.00,1319.00,20.00
1188,1.00,1417.00,1200.00,254.00
1189,3.00,1397.00,1342.00,-63.00
1190,2.00,1090.00,1357.00,203.00
1191,4.00,1395.00,1080.00,-69.00
1192,5.00,1279.00,1101.00,85.00
1193,2.00,1099.00,1133.00,-231.00
1194,2.00,1054.00,1288.00,59.00
1195,3.00,1247.00,1139.00,48.00
1196,1.00,1156.00,1282.00,-133.00
1197,1.00,1287.00,1344.00,42.00
1198,3.00,1320.00,1259.00,-228.00
1199,1.00,1276.00,1289.00,14.00
1200,4.00,1070.00,1226.00,-60.00
1201,2.00,1168.00,1112.00,230.00
1202,2.00,1221.00,1186.00,204.00
1203,5.00,1311.00,1317.00,48.00
1204,5.00,1328.00,1062.00,264.00
1205,2.00,1190.00,1076.00,178.00
1206,3.00,1112.00,1252.00,-36.00
1207,2.00,1184.00,1139.00,-34.00
1208,1.00,1311.00,1173.00,154.00
1209,5.00,1281.00,1268.00,-243.00
1210,4.00,1241.00,1310.00,104.00
1211,2.00,1224.00,1065.00,-218.00
1212,4.00,1270.00,1079.00,-82.00
1213,3.00,1450.00,1100.00,123.00
1214,3.00,1375.00,1259.00,-93.00
1215,5.00,1274.00,1364.00,-200.00
1216,2.00,1446.00,1134.00,216.00
1217,4.00,1323.00,1282.00,-72.00
1218,4.00,1391.00,1250.00,148.00
1219,4.00,1339.00,1346.00,-128.00
1220,1.00,1238.00,1129.00,239.00
1221,3.00,1421.00,1161.00,-6.00
1222,5.00,1257.00,1201.00,196.00
1223,2.00,1236.00,1330.00,-198.00
1224,1.00,1459.00,1203.00,140.00
1225,2.00,1227.00,1165.00,224.00
1226,5.00,1258.00,1286.00,-204.00
1227,1.00,1360.00,1271.00,216.00
1228,1.00,1288.00,1266.00,266.00
1229,2.00,1270.00,1326.00,14.00
1230,2.00,1445.00,1214.00,-181.00
1231,4.00,1382.00,1169.00,-212.00
1232,1.00,1200.00,1341.00,-118.00
1233,3.00,1351.00,1325.00,-212.00
1234,4.00,1447.00,1202.00,-166.00
1235,1.00,1250.00,1315.00,-107.00
1236,3.00,1178.00,1350.00,-5.00
1237,3.00,1377.00,1231.00,58.00
1238,3.00,1138.00,1406.00,-46.00
1239,3.00,1214.00,1129.00,177.00
1240,1.00,1112.00,1196.00,46.00
1241,3.00,1436.00,1297.00,-150.00
1242,1.00,1392.00,1220.00,-153.00
1243,3.00,1202.00,1369.00,-192.00
1244,5.00,1405.00,1178.00,14.00
1245,4.00,1107.00,1414.00,37.00
1246,1.00,1113.00,1280.00,-166.00
1247,4.00,1101.00,1286.00,74.00
1248,4.00,1201.00,1237.00,132.00
1249,3.00,1156.00,1312.00,102.00
1250,4.00,1220.00,1195.00,169.00
1251,4.00,1202.00,1240.00,73.00
1252,5.00,1319.00,1243.00,69.00
1253,4.00,1141.00,1310.00,120.00
1254,2.00,1139.00,1144.00,216.00
1255,3.00,1149.00,1105.00,15.00
1256,2.00,1457.00,1217.00,252.00
1257,2.00,1199.00,1388.00,-77.00
1258,1.00,1365.00,1375.00,7.00
1259,1.00,1458.00,1152.00,225.00
1260,5.00,1484.00,1217.00,123.00
1261,5.00,1251.00,1210.00,36.00
1262,2.00,1401.00,1364.00,-237.00
1263,3.00,1371.00,1127.00,-145.00
1264,1.00,1240.00,1134.00,147.00
1265,2.00,1220.00,1212.00,-91.00
1266,4.00,1331.00,1195.00,-217.00
1267,3.00,1229.00,1312.00,98.00
1268,2.00,1317.00,1361.00,221.00
1269,1.00,1504.00,1364.00,161.00
1270,2.00,1344.00,1230.00,-29.00
1271,2.00,1233.00,1427.00,165.00
1272,3.00,1464.00,1295.00,-150.00
1273,5.00,1454.00,1187.00,63.00
1274,3.00,1417.00,1136.00,-181.00
1275,2.00,1213.00,1210.00,93.00
1276,2.00,1497.00,1129.00,127.00
1277,4.00,1406.00,1382.00,209.00
1278,4.00,1401.00,1179.00,203.00
1279,5.00,1161.00,1300.00,112.00
1280,1.00,1236.00,1345.00,230.00
1281,5.00,1359.00,1131.00,190.00
1282,4.00,1133.00,1304.00,-53.00
1283,5.00,1137.00,1289.00,-77.00
1284,2.00,1375.00,1150.00,164.00
1285,4.00,1462.00,1283.00,-69.00
1286,5.00,1473.00,1294.00,-229.00
1287,2.00,1447.00,1397.00,-186.00
1288,4.00,1342.00,1341.00,112.00
1289,5.00,1420.00,1160.00,111.00
1290,4.00,1418.00,1218.00,152.00
1291,2.00,1198.00,1271.00,247.00
1292,4.00,1249.00,1301.00,-42.00
1293,1.00,1250.00,1170.00,-39.00
1294,2.00,1218.00,1247.00,-33.00
1295,3.00,1499.00,1271.00,-201.00
1296,5.00,1282.00,1349.00,-231.00
1297,1.00,1481.00,1206.00,208.00
1298,5.00,1206.00,1264.00,-93.00
1299,5.00,1420.00,1372.00,140.00
1300,5.00,1181.00,1265.00,-46.00
1301,3.00,1243.00,1392.00,-71.00
1302,1.00,1235.00,1370.00,-72.00
1303,1.00,1227.00,1343.00,-146.00
1304,4.00,1283.00,1189.00,-90.00
1305,5.00,1211.00,1319.00,203.00
1306,5.00,1227.00,1302.00,-146.00
1307,5.00,1208.00,1412.00,31.00
1308,4.00,1419.00,1312.00,26.00
1309,5.00,1297.00,1332.00,-209.00
1310,4.00,1514.00,1419.00,-198.00
1311,1.00,1298.00,1212.00,-130.00
1312,1.00,1257.00,1413.00,102.00
1313,2.00,1210.00,1284.00,218.00
1314,1.00,1392.00,1453.00,94.00
1315,4.00,1273.00,1268.00,-198.00
1316,5.00,1463.00,1333.00,-143.00
1317,4.00,1552.00,1228.00,-51.00
1318,5.00,1470.00,1439.00,-142.00
1319,2.00,1229.00,1476.00,116.00
1320,3.00,1280.00,1322.00,254.00
1321,5.00,1366.00,1369.00,255.00
1322,4.00,1276.00,1327.00,2.00
1323,3.00,1186.00,1176.00,-211.00
1324,4.00,1421.00,1368.00,9.00
1325,2.00,1449.00,1176.00,233.00
1326,5.00,1201.00,1369.00,253.00
1327,3.00,1483.00,1287.00,23.00
1328,1.00,1259.00,1441.00,92.00
1329,5.00,1350.00,1434.00,139.00
1330,3.00,1434.00,1352.00,161.00
1331,3.00,1522.00,1374.00,160.00
1332,4.00,1292.00,1289.00,-78.00
1333,3.00,1233.00,1432.00,-103.00
1334,2.00,1370.00,1432.00,100.00
1335,5.00,1544.00,1385.00,55.00
1336,1.00,1190.00,1242.00,-40.00
1337,3.00,1555.00,1260.00,-244.00
1338,4.00,1469.00,1191.00,270.00
1339,5.00,1268.00,1457.00,-1.00
1340,5.00,1543.00,1337.00,-213.00
1341,4.00,1216.00,1388.00,44.00
1342,3.00,1439.00,1195.00,20.00
1343,3.00,1446.00,1295.00,31.00
1344,3.00,1552.00,1479.00,146.00
1345,3.00,1590.00,1286.00,-225.00
1346,3.00,1200.00,1214.00,-149.00
1347,4.00,1283.00,1371.00,80.00
1348,3.00,1412.00,1471.00,0.00
1349,2.00,1365.00,1421.00,184.00
1350,5.00,1262.00,1280.00,-3.00
1351,4.00,1565.00,1436.00,-18.00
1352,3.00,1525.00,1336.00,199.00
1353,1.00,1524.00,1331.00,27.00
1354,2.00,1340.00,1268.00,-85.00
1355,1.00,1208.00,1427.00,-186.00
1356,4.00,1484.00,1416.00,243.00
1357,2.00,1487.00,1479.00,-244.00
1358,2.00,1432.00,1517.00,161.00
1359,1.00,1266.00,1374.00,-25.00
1360,3.00,1253.00,1385.00,223.00
1361,2.00,1260.00,1327.00,-88.00
1362,5.00,1460.00,1231.00,93.00
1363,5.00,1248.00,1214.00,185.00
1364,3.00,1494.00,1516.00,-85.00
1365,5.00,1494.00,1428.00,-151.00
1366,3.00,1574.00,1524.00,-149.00
1367,4.00,1447.00,1517.00,172.00
1368,3.00,1373.00,1400.00,22.00
1369,5.00,1344.00,1451.00,169.00
1370,1.00,1575.00,1478.00,-183.00
1371,1.00,1541.00,1239.00,-8.00
1372,1.00,1577.00,1417.00,-134.00
1373,4.00,1309.00,1377.00,-188.00
1374,4.00,1499.00,1497.00,203.00
1375,4.00,1463.00,1256.00,-188.00
1376,1.00,1282.00,1382.00,109.00
1377,2.00,1316.00,1360.00,164.00
1378,2.00,1464.00,1297.00,204.00
1379,5.00,1398.00,1522.00,54.00
1380,5.00,1318.00,1454.00,-48.00
1381,2.00,1531.00,1361.00,-196.00
1382,5.00,1522.00,1296.00,-196.00
1383,2.00,1264.00,1268.00,-45.00
1384,5.00,1300.00,1397.00,99.00
1385,2.00,1572.00,1442.00,-116.00
1386,4.00,1559.00,1421.00,38.00
1387,1.00,1294.00,1253.00,-163.00
1388,5.00,1631.00,1434.00,-236.00
1389,5.00,1586.00,1316.00,27.00
1390,2.00,1279.00,1285.00,-188.00
1391,2.00,1294.00,1447.00,170.00
1392,1.00,1499.00,1446.00,-49.00
1393,1.00,1640.00,1308.00,16.00
1394,4.00,1574.00,1548.00,220.00
1395,1.00,1476.00,1357.00,-35.00
1396,2.00,1293.00,1405.00,-183.00
1397,4.00,1277.00,1496.00,-216.00
1398,4.00,1573.00,1385.00,-208.00
1399,1.00,1371.00,1552.00,-125.00
1400,5.00,1512.00,1449.00,-134.00
1401,3.00,1508.00,1362.00,172.00
1402,3.00,1356.00,1316.00,266.00
1403,3.00,1588.00,1348.00,-169.00
1404,2.00,1311.00,1284.00,49.00
1405,2.00,1593.00,1366.00,57.00
1406,4.00,1469.00,1290.00,-229.00
1407,5.00,1546.00,1368.00,-187.00
1408,2.00,1504.00,1282.00,-12.00
1409,5.00,1261.00,1295.00,181.00
1410,4.00,1336.00,1377.00,25.00
1411,2.00,1542.00,1529.00,-106.00
1412,2.00,1414.00,1382.00,191.00
1413,5.00,1501.00,1297.00,-22.00
1414,4.00,1664.00,1433.00,225.00
1415,3.00,1320.00,1360.00,9.00
1416,5.00,1457.00,1277.00,-84.00
1417,2.00,1477.00,1308.00,162.00
1418,2.00,1631.00,1309.00,-205.00
1419,3.00,1593.00,1314.00,-3.00
1420,2.00,1360.00,1520.00,-154.00
1421,1.00,1332.00,1403.00,79.00
1422,5.00,1382.00,1308.00,-169.00
1423,1.00,1406.00,1512.00,11.00
1424,5.00,1407.00,1425.00,-65.00
1425,4.00,1377.00,1591.00,-15.00
1426,5.00,1566.00,1438.00,-212.00
1427,5.00,1668.00,1393.00,259.00
1428,3.00,1513.00,1293.00,214.00
1429,4.00,1315.00,1460.00,-35.00
1430,5.00,1628.00,1517.00,-174.00
1431,1.00,1583.00,1517.00,234.00
1432,4.00,1295.00,1512.00,223.00
1433,3.00,1456.00,1391.00,-32.00
1434,4.00,1370.00,1550.00,-103.00
1435,4.00,1540.00,1573.00,80.00
1436,3.00,1340.00,1456.00,61.00
1437,5.00,1650.00,1590.00,-65.00
1438,5.00,1647.00,1463.00,165.00
1439,2.00,1683.00,1350.00,76.00
1440,2.00,1687.00,1575.00,85.00
1441,1.00,1331.00,1329.00,6.00
1442,5.00,1355.00,1300.00,-131.00
1443,3.00,1685.00,1584.00,-232.00
1444,2.00,1380.00,1339.00,60.00
1445,4.00,1433.00,1545.00,105.00
1446,4.00,1656.00,1538.00,-165.00
1447,5.00,1561.00,1468.00,-162.00
1448,5.00,1335.00,1379.00,50.00
1449,3.00,1679.00,1302.00,9.00
1450,5.00,1544.00,1572.00,168.00
1451,5.00,1579.00,1575.00,-108.00
1452,3.00,1387.00,1565.00,204.00
